SZCode,LPA,NCA,Area,Hedgerow,Watercourse,PopHeader
1,North East Lincolnshire,Humber Estuary,38.1,0,6.5,
2,North East Lincolnshire,Lincolnshire Coast and Marshes,123,0,15,
3,North East Lincolnshire,Lincolnshire Wolds,202.5,8,6,
4,North Lincolnshire,Humberhead Levels,139.5,0,2.5,
5,North Lincolnshire,Humber Estuary,139.5,0,2.5,
6,North Lincolnshire,Lincolnshire Coast and Marshes,262.5,0,17.5,
7,North Lincolnshire,Lincolnshire Wolds,326,8,2.5,
8,North Lincolnshire,Central Lincolnshire Vale,175,0,2.5,
9,North Lincolnshire,Northern Lincolnshire Edge with Coversands,139.5,0,2.5,
10,Boston,The Fens,110,3,2,
11,East Lindsey,Lincolnshire Coast and Marshes,171.5,0,15,
12,East Lindsey,Lincolnshire Wolds,293.5,8,9,
13,East Lindsey,Central Lincolnshire Vale,237,0,9,
14,East Lindsey,The Fens,265.5,3,11,
15,Lincoln,Northern Lincolnshire Edge with Coversands,1.4,0,0,
16,Lincoln,Southern Lincolnshire Edge,65,10,0,
17,Lincoln,Trent and Belvoir Vales,198,1,0.2,
18,North Kesteven,Central Lincolnshire Vale,349.5,10,0,
19,North Kesteven,The Fens,366,13,2,
20,North Kesteven,Southern Lincolnshire Edge,268,10,0,
21,North Kesteven,Trent and Belvoir Vales,275,11,0.2,
22,North Kesteven,Kesteven Uplands,523,11.8,11.25,
23,South Holland,The Fens,110,3,2,
24,South Kesteven,The Fens,365,4.8,13.25,
25,South Kesteven,Southern Lincolnshire Edge,328,11.8,13.25,
26,South Kesteven,Trent and Belvoir Vales,461,2.8,13.45,
27,South Kesteven,Kesteven Uplands,263,1.8,13.25,
28,West Lindsey,Humberhead Levels,243.5,8,2,
29,West Lindsey,Lincolnshire Coast and Marshes,296.5,8,15,
30,West Lindsey,Lincolnshire Wolds,222,8,0,
31,West Lindsey,Central Lincolnshire Vale,219.5,8,0,
32,West Lindsey,Northern Lincolnshire Edge with Coversands,174.9,8,0,
33,West Lindsey,The Fens,283.5,11,2,
34,West Lindsey,Southern Lincolnshire Edge,238.5,18,0,
35,West Lindsey,Trent and Belvoir Vales,371.5,9,0.2,
