SZCode,LPA,NCA,Grassland,Heathland and shrub,Wetland,Lakes,Woodland and forest,Urban,Hedgerow,Watercourse,Individual trees,Sparsely vegetated land,Cropland,Rocky Shore,Coastal,Intertidal
1,North East Lincolnshire,Humber Estuary,38.1,0,0,0,0,0,0,6.5,0,0,0,0,0,0
2,North East Lincolnshire,Lincolnshire Coast and Marshes,111,0,0,7,5,0,0,15,0,0,0,0,0,0
3,North East Lincolnshire,Lincolnshire Wolds,188,4.5,0,0,10,0,8,6,0,0,0,0,0,0
4,North Lincolnshire,Humberhead Levels,134.5,0,5,0,0,0,0,2.5,0,0,0,0,0,0
5,North Lincolnshire,Humber Estuary,134.5,0,5,0,0,0,0,2.5,0,0,0,0,0,0
6,North Lincolnshire,Lincolnshire Coast and Marshes,245.5,0,5,7,5,0,0,17.5,0,0,0,0,0,0
7,North Lincolnshire,Lincolnshire Wolds,306.5,4.5,5,0,10,0,8,2.5,0,0,0,0,0,0
8,North Lincolnshire,Central Lincolnshire Vale,165,0,10,0,0,0,0,2.5,0,0,0,0,0,0
9,North Lincolnshire,Northern Lincolnshire Edge with Coversands,134.5,0,5,0,0,0,0,2.5,0,0,0,0,0,0
10,Boston,The Fens,93,2,4,5,6,0,3,2,0,0,0,0,0,0
11,East Lindsey,Lincolnshire Coast and Marshes,155,4.5,0,7,5,0,0,15,0,0,0,0,0,0
12,East Lindsey,Lincolnshire Wolds,267,4.5,0,7,15,0,8,9,0,0,0,0,0,0
13,East Lindsey,Central Lincolnshire Vale,215.5,4.5,5,7,5,0,0,9,0,0,0,0,0,0
14,East Lindsey,The Fens,232,6.5,4,12,11,0,3,11,0,0,0,0,0,0
15,Lincoln,Northern Lincolnshire Edge with Coversands,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Lincoln,Southern Lincolnshire Edge,40,10,0,5,10,0,10,0,0,0,0,0,0,0
17,Lincoln,Trent and Belvoir Vales,158.6,0,0,0,39.4,0,1,0.2,0,0,0,0,0,0
18,North Kesteven,Central Lincolnshire Vale,278.1,12,5,5,49.4,0,10,0,0,0,0,0,0,0
19,North Kesteven,The Fens,284.6,12,4,10,55.4,0,13,2,0,0,0,0,0,0
20,North Kesteven,Southern Lincolnshire Edge,201.6,12,0,5,49.4,0,10,0,0,0,0,0,0,0
21,North Kesteven,Trent and Belvoir Vales,208.6,12,0,5,49.4,0,11,0.2,0,0,0,0,0,0
22,North Kesteven,Kesteven Uplands,434.6,22,0,11,55.4,0,11.8,11.25,0,0,0,0,0,0
23,South Holland,The Fens,93,2,4,5,6,0,3,2,0,0,0,0,0,0
24,South Kesteven,The Fens,326,12,4,11,12,0,4.8,13.25,0,0,0,0,0,0
25,South Kesteven,Southern Lincolnshire Edge,273,20,4,13,18,0,11.8,13.25,0,0,0,0,0,0
26,South Kesteven,Trent and Belvoir Vales,391.6,10,4,8,47.4,0,2.8,13.45,0,0,0,0,0,0
27,South Kesteven,Kesteven Uplands,233,10,4,8,8,0,1.8,13.25,0,0,0,0,0,0
28,West Lindsey,Humberhead Levels,223.5,0,10,0,10,0,8,2,0,0,0,0,0,0
29,West Lindsey,Lincolnshire Coast and Marshes,269.5,0,5,7,15,0,8,15,0,0,0,0,0,0
30,West Lindsey,Lincolnshire Wolds,202.5,4.5,5,0,10,0,8,0,0,0,0,0,0,0
31,West Lindsey,Central Lincolnshire Vale,204.5,0,5,0,10,0,8,0,0,0,0,0,0,0
32,West Lindsey,Northern Lincolnshire Edge with Coversands,159.9,0,5,0,10,0,8,0,0,0,0,0,0,0
33,West Lindsey,The Fens,251.5,2,9,5,16,0,11,2,0,0,0,0,0,0
34,West Lindsey,Southern Lincolnshire Edge,198.5,10,5,5,20,0,18,0,0,0,0,0,0,0
35,West Lindsey,Trent and Belvoir Vales,317.1,0,5,0,49.4,0,9,0.2,0,0,0,0,0,0
